"","V1","V2","V3"
"1","C",10010,"10010"
"2","V",1010,"1"
"3","V",1000,"1"
"4","V",1011,"1"
"5","V",1012,"1"
"6","V",1013,"1"
"7","V",1014,"1"
"8","C",10019,"10019"
"9","V",1017,"1"
"10","V",1004,"1"
"11","V",1018,"1"
"12","V",1029,"1"
"13","V",1008,"1"
"14","V",1030,"1"
"15","V",1031,"1"
"16","V",1032,"1"
"17","V",1003,"1"
"18","V",1033,"1"
"19","V",1002,"1"
"20","C",10021,"10021"
"21","V",1017,"1"
"22","V",1004,"1"
"23","V",1018,"1"
"24","V",1035,"1"
"25","V",1036,"1"
"26","V",1008,"1"
"27","V",1037,"1"
"28","V",1009,"1"
"29","V",1038,"1"
"30","V",1026,"1"
"31","V",1039,"1"
"32","V",1040,"1"
"33","V",1032,"1"
"34","V",1041,"1"
"35","V",1042,"1"
"36","V",1034,"1"
"37","V",1043,"1"
"38","C",10031,"10031"
"39","V",1045,"1"
"40","V",1049,"1"
"41","V",1018,"1"
"42","V",1008,"1"
"43","V",1035,"1"
"44","V",1027,"1"
"45","V",1046,"1"
"46","V",1009,"1"
"47","V",1031,"1"
"48","V",1041,"1"
"49","V",1001,"1"
"50","V",1003,"1"
"51","V",1002,"1"
"52","V",1034,"1"
"53","C",10035,"10035"
"54","V",1008,"1"
"55","V",1051,"1"
"56","V",1038,"1"
"57","V",1031,"1"
"58","V",1052,"1"
"59","V",1053,"1"
"60","V",1018,"1"
"61","C",10036,"10036"
"62","V",1051,"1"
"63","V",1054,"1"
"64","V",1018,"1"
"65","V",1035,"1"
"66","V",1008,"1"
"67","V",1009,"1"
"68","V",1026,"1"
"69","V",1040,"1"
"70","V",1052,"1"
"71","V",1041,"1"
"72","V",1003,"1"
"73","V",1034,"1"
"74","V",1048,"1"
"75","C",10038,"10038"
"76","V",1008,"1"
"77","V",1027,"1"
"78","V",1026,"1"
"79","V",1041,"1"
"80","V",1032,"1"
"81","V",1001,"1"
"82","V",1003,"1"
"83","V",1018,"1"
"84","V",1057,"1"
"85","C",10039,"10039"
"86","V",1000,"1"
"87","V",1058,"1"
"88","V",1017,"1"
"89","V",1049,"1"
"90","V",1001,"1"
"91","V",1034,"1"
"92","C",10065,"10065"
"93","V",1045,"1"
"94","V",1062,"1"
"95","V",1017,"1"
"96","V",1004,"1"
"97","V",1021,"1"
"98","V",1008,"1"
"99","V",1056,"1"
"100","V",1046,"1"
"101","V",1040,"1"
"102","V",1034,"1"
"103","C",10068,"10068"
"104","V",1064,"1"
"105","V",1065,"1"
"106","V",1066,"1"
"107","V",1067,"1"
"108","V",1027,"1"
"109","V",1040,"1"
"110","V",1061,"1"
"111","V",1068,"1"
"112","V",1042,"1"
"113","V",1034,"1"
"114","V",1025,"1"
"115","V",1069,"1"
"116","V",1070,"1"
"117","V",1018,"1"
"118","V",1004,"1"
"119","V",1071,"1"
"120","V",1072,"1"
"121","V",1010,"1"
"122","V",1008,"1"
"123","V",1038,"1"
"124","V",1023,"1"
"125","V",1026,"1"
"126","V",1041,"1"
"127","C",10070,"10070"
"128","V",1008,"1"
"129","V",1017,"1"
"130","V",1031,"1"
"131","V",1052,"1"
"132","V",1001,"1"
"133","V",1003,"1"
"134","V",1018,"1"
"135","C",10077,"10077"
"136","V",1008,"1"
"137","V",1030,"1"
"138","V",1017,"1"
"139","V",1003,"1"
"140","V",1001,"1"
"141","V",1034,"1"
"142","V",1002,"1"
"143","V",1004,"1"
"144","C",10085,"10085"
"145","V",1025,"1"
"146","V",1069,"1"
"147","V",1017,"1"
"148","V",1074,"1"
"149","V",1008,"1"
"150","V",1037,"1"
"151","V",1009,"1"
"152","V",1026,"1"
"153","V",1032,"1"
"154","V",1034,"1"
"155","C",10117,"10117"
"156","V",1008,"1"
"157","V",1009,"1"
"158","V",1017,"1"
"159","V",1001,"1"
"160","V",1003,"1"
"161","V",1024,"1"
"162","V",1034,"1"
"163","V",1018,"1"
"164","C",10127,"10127"
"165","V",1081,"1"
"166","V",1082,"1"
"167","V",1040,"1"
"168","V",1001,"1"
"169","V",1018,"1"
"170","V",1083,"1"
"171","C",10132,"10132"
"172","V",1084,"1"
"173","V",1085,"1"
"174","V",1086,"1"
"175","V",1087,"1"
"176","V",1054,"1"
"177","V",1036,"1"
"178","V",1077,"1"
"179","V",1040,"1"
"180","V",1003,"1"
